"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"ACE.BK","Absolute Clean Energy Public Company Limited",2.68,0.02,"+0.75%","27.451M","18.403M",2.7003e+13,"17.87",NA
"TASCO.BK","Tipco Asphalt Public Company Limited",17.1,0,"0.00%","1.461M","3.597M",2.699e+13,"14.49",NA
"SIRI.BK","Sansiri Public Company Limited",1.74,0.03,"+1.75%","145.273M","249.468M",2.6792e+13,"10.24",NA
"RCL.BK","Regional Container Lines Public Company Limited",31.5,-0.25,"-0.79%","779,430","4.638M",2.6106e+13,"0.87",NA
"DITTO.BK","Ditto (Thailand) Public Company Limited",49.25,-0.75,"-1.50%","1.117M","2.117M",2.601e+13,"102.60",NA
"EPG.BK","Eastern Polymer Group Public Company Limited",9.25,-0.05,"-0.54%","1.823M","3.664M",2.59e+13,"19.27",NA
"DCC.BK","Dynasty Ceramic Public Company Limited",2.82,-0.02,"-0.70%","3.491M","7.008M",2.5734e+13,"15.67",NA
"TVO.BK","Thai Vegetable Oil Public Company Limited",28.75,-0.25,"-0.86%","678,329","856,372",2.5572e+13,"11.06",NA
"AURA.BK","Aurora Design Public Company Limited",18.9,-0.7,"-3.57%","12.78M","34.401M",2.5213e+13,"32.03",NA
"LHFG.BK","LH Financial Group Public Company Limited",1.19,-0.01,"-0.83%","7.43M","13.98M",2.5209e+13,"29.75",NA
"BTG.BK","Betagro Public Company Limited",33.5,-0.25,"-0.74%","2.23M","4.832M",2.5125e+13,"6.88",NA
"QH.BK","Quality Houses Public Company Limited",2.32,-0.02,"-0.85%","14.964M","18.123M",2.4857e+13,"11.05",NA
"PSL.BK","Precious Shipping Public Company Limited",15.9,0,"0.00%","3.482M","9.375M",2.4793e+13,"4.08",NA
"TQM.BK","TQM Alpha Public Company Limited",41.25,0.5,"+1.23%","1.614M","1.424M",2.475e+13,"33.54",NA
"PTG.BK","PTG Energy Public Company Limited",14.6,-0.1,"-0.68%","4.061M","8.485M",2.4382e+13,"28.63",NA
"THANI.BK","Ratchthani Leasing Public Company Limited",4.3,-0.02,"-0.46%","23.293M","11.864M",2.4351e+13,"13.03",NA
"PTL.BK","Polyplex (Thailand) Public Company Limited",26.5,-0.75,"-2.75%","3.959M","1.024M",2.385e+13,"5.72",NA
"AMATA.BK","Amata Corporation Public Company Limited",20.2,0.3,"+1.51%","4.812M","7.213M",2.323e+13,"10.15",NA
"SINGER.BK","Singer Thailand Public Company Limited",28.25,-0.25,"-0.88%","7.21M","6.037M",2.3073e+13,"22.42",NA
"SNNP.BK","Srinanaporn Marketing Public Company Limited",23.9,0.4,"+1.70%","19.333M","6.895M",2.2944e+13,"46.86",NA
"PRINC.BK","Principal Capital Public Company Limited",5.95,-0.05,"-0.83%","2.609M","4.17M",2.2661e+13,"39.67",NA
"JWD.BK","JWD InfoLogistics Public Company Limited",21.8,0.5,"+2.35%","7.587M","7.953M",2.2236e+13,"27.25",NA
